t;A0;A2;A3;A4
00:00;83,13;89,40;77,30;68,52
00:00;85,83;88,51;86,77;81,57
00:00;81,58;83,24;84,92;81,98
00:01;76,41;76,79;79,80;77,97
00:01;75,72;73,34;74,13;73,20
00:01;75,24;72,29;71,13;69,21
00:01;74,83;69,95;69,24;66,45
00:02;73,02;67,08;66,56;63,36
00:02;;;;
00:02;;;;
00:02;;;;
00:03;;;;
00:03;;;;
00:03;;;;
00:03;;;;
00:04;;;;
00:04;;;;
00:04;;;;
00:04;;;;
00:05;;;;
00:05;;;;
00:05;;;;
00:05;;;;
00:06;;;;
00:06;;;;
00:06;;;;
00:06;;;;
00:07;;;;
00:07;;;;
00:07;;;;
00:07;;;;
00:08;;;;
00:08;;;;
00:08;;;;
00:08;;;;
00:09;;;;
00:09;;;;
00:09;;;;
00:09;;;;
00:10;;;;
00:10;;;;
00:10;;;;
00:10;;;;
00:11;;;;
00:11;;;;
00:11;;;;
00:11;;;;
00:12;;;;
00:12;;;;
00:12;;;;
00:12;;;;
00:13;;;;
00:13;;;;
00:13;;;;
00:13;;;;
00:14;;;;
00:14;;;;
00:14;;;;
00:14;;;;
00:15;;;;
00:15;;;;
